scientificName,Frequency,Common Name
Cygnus buccinator,2,Trumpeter Swan
Bicolorana bicolor,2,
Galerida cristata,2,Crested Lark
Bufotes viridis,2,
Otus spilocephalus,2,Mountain Scops-Owl
Terpsiphone viridis,2,African Paradise-Flycatcher
Corvus tasmanicus,2,Forest Raven
Toxostoma longirostre,2,Long-billed Thrasher
Sturnus unicolor,2,Spotless Starling
Himatione sanguinea,2,Apapane
Cyanoderma ruficeps,2,Rufous-capped Babbler
Spizaetus tyrannus,2,Black Hawk-Eagle
Anthracoceros albirostris,2,Oriental Pied-Hornbill
Acanthorhynchus tenuirostris,2,Eastern Spinebill
Bathtub_(filling_or_washing),2,
Philemon corniculatus,2,Noisy Friarbird
Leptocoma zeylonica,2,Purple-rumped Sunbird
Saxicola rubicola,2,European Stonechat
Wind_instrument_and_woodwind_instrument,2,
Empidonax hammondii,2,Hammond's Flycatcher
Electron platyrhynchum,2,Broad-billed Motmot
Pseudochorthippus montanus,2,
Onychognathus tristramii,2,Tristram's Starling
Arremon brunneinucha,2,Chestnut-capped Brushfinch
Tyto furcata,2,American Barn Owl
Polioptila californica,2,California Gnatcatcher
Salpornis salvadori,2,African Spotted Creeper
Copsychus malabaricus,2,White-rumped Shama
Duttaphrynus melanostictus,2,
Psaltoda harrisii,2,
Anthochaera carunculata,2,Red Wattlebird
Spizaetus ornatus,2,Ornate Hawk-Eagle
Ara severus,2,Chestnut-fronted Macaw
Estrilda astrild,2,Common Waxbill
Vermivora cyanoptera,2,Blue-winged Warbler
Hydrornis cyaneus,2,Blue Pitta
Pipraeidea melanonota,2,Fawn-breasted Tanager
Ptyonoprogne rupestris,2,Eurasian Crag-Martin
Leptotila verreauxi,2,White-tipped Dove
Stephanoaetus coronatus,2,Crowned Eagle
Sialia currucoides,2,Mountain Bluebird
Calidris ferruginea,2,Curlew Sandpiper
Phylloscopus schwarzi,2,Radde's Warbler
Zosterops japonicus,2,Warbling White-eye
Abroscopus albogularis,2,Rufous-faced Warbler
Sternula albifrons,2,Little Tern
Xiphocolaptes promeropirhynchus,2,Strong-billed Woodcreeper
Elaenia albiceps,2,White-crested Elaenia
Vanellus miles,2,Masked Lapwing
Lymnocryptes minimus,2,Jack Snipe
Halcyon chelicuti,2,Striped Kingfisher
Acrocephalus melanopogon,2,Moustached Warbler
Malurus cyaneus,2,Superb Fairywren
Motor_vehicle_(road),2,
Isophya rhodopensis,2,
Spinus psaltria,2,Lesser Goldfinch
Anser fabalis,2,Taiga Bean-Goose
Pellorneum ruficeps,2,Puff-throated Babbler
Apis mellifera,2,
Singing,2,
Megascops choliba,2,Tropical Screech-Owl
Apalis chapini,2,Chapin's Apalis
Bambusicola thoracicus,2,Chinese Bamboo-Partridge
Melanotis caerulescens,2,Blue Mockingbird
Platycercus elegans,2,Crimson Rosella
Claravis pretiosa,2,Blue Ground Dove
Rupornis magnirostris,2,Roadside Hawk
Human_group_actions,2,
Aegithalos concinnus,2,Black-throated Tit
Respiratory_sounds,2,
Aix galericulata,2,Mandarin Duck
Gomphocerus sibiricus,2,
Dolichonyx oryzivorus,2,Bobolink
Halcyon smyrnensis,2,White-throated Kingfisher
Callocephalon fimbriatum,2,Gang-gang Cockatoo
Kaloula pulchra,2,
Acridotheres tristis,2,Common Myna
Sclerophrys capensis,2,
Passerina ciris,2,Painted Bunting
Butorides striata,2,Striated Heron
Setophaga chrysoparia,2,Golden-cheeked Warbler
Sarothrura elegans,2,Buff-spotted Flufftail
Magicicada tredecim,1,
Cisticola fulvicapilla,1,Piping Cisticola
Theristicus caudatus,1,Buff-necked Ibis
Harmonica,1,
Haemorhous cassinii,1,Cassin's Finch
Gavia arctica,1,Arctic Loon
Malacoptila mystacalis,1,Moustached Puffbird
Acropternis orthonyx,1,Ocellated Tapaculo
Turdus fuscater,1,Great Thrush
Butastur indicus,1,Gray-faced Buzzard
Poodytes gramineus,1,Little Grassbird
Batis pririt,1,Pririt Batis
Orthotomus sutorius,1,Common Tailorbird
Buteo albonotatus,1,Zone-tailed Hawk
Lathrotriccus euleri,1,Euler's Flycatcher
Crack,1,
Psittacula finschii,1,Gray-headed Parakeet
Auscala spinosa,1,
Carduelis citrinella,1,Citril Finch
Actitis macularius,1,Spotted Sandpiper
Pica hudsonia,1,Black-billed Magpie
Chrysocolaptes guttacristatus,1,Greater Flameback
Iduna opaca,1,Western Olivaceous Warbler
Myiarchus tuberculifer,1,Dusky-capped Flycatcher
Culicicapa ceylonensis,1,Gray-headed Canary-Flycatcher
Suthora webbiana,1,Vinous-throated Parrotbill
Dicaeum hirundinaceum,1,Mistletoebird
Turdus albicollis,1,White-necked Thrush
Galbula ruficauda,1,Rufous-tailed Jacamar
Scytalopus speluncae,1,Mouse-colored Tapaculo
Crypturellus obsoletus,1,Brown Tinamou
Vireo plumbeus,1,Plumbeous Vireo
Progne subis,1,Purple Martin
Rufirallus schomburgkii,1,Ocellated Crake
Trogon rufus,1,Amazonian Black-throated Trogon
Run,1,
Ficedula hyperythra,1,Snowy-browed Flycatcher
Camaroptera brachyura,1,Green-backed Camaroptera
Riparia riparia,1,Bank Swallow
Tettigonia viridissima,1,
Larus dominicanus,1,Kelp Gull
Platyrinchus mystaceus,1,White-throated Spadebill
Turtur tympanistria,1,Tambourine Dove
Dishes_and_pots_and_pans,1,
Dicrurus adsimilis,1,Fork-tailed Drongo
Coracias caudatus,1,Lilac-breasted Roller
Nothocercus julius,1,Tawny-breasted Tinamou
Hyla arborea,1,
Crumpling_and_crinkling,1,
Hierococcyx varius,1,Common Hawk-Cuckoo
Camptostoma obsoletum,1,Southern Beardless-Tyrannulet
Turdus pallidus,1,Pale Thrush
Barbitistes obtusus,1,
Toxostoma lecontei,1,LeConte's Thrasher
Turdus serranus,1,Glossy-black Thrush
Eupholidoptera smyrnensis,1,
Urodynamis taitensis,1,Long-tailed Koel
Saltator grandis,1,Cinnamon-bellied Saltator
Dendrocitta formosae,1,Gray Treepie
Squeak,1,
Lithobates septentrionalis,1,
Aethopyga gouldiae,1,Mrs. Gould's Sunbird
Otus elegans,1,Ryukyu Scops-Owl
Telephone,1,
Columbina inca,1,Inca Dove
Euphonia affinis,1,Scrub Euphonia
Chorthippus apricarius,1,
Colibri cyanotus,1,Lesser Violetear
Myadestes ralloides,1,Andean Solitaire
Dryobates nuttallii,1,Nuttall's Woodpecker
Phylloscopus nitidus,1,Green Warbler
Scaphiopus couchii,1,
Icterus chrysater,1,Yellow-backed Oriole
Empidonax wrightii,1,Gray Flycatcher
Domestic_animals_and_pets,1,
Melozone fusca,1,Canyon Towhee
Tetrao urogallus,1,Western Capercaillie
Elaenia flavogaster,1,Yellow-bellied Elaenia
Scytalopus latrans,1,Blackish Tapaculo
Clibanornis rubiginosus,1,Ruddy Foliage-gleaner
Microeca flavigaster,1,Lemon-bellied Flyrobin
Prinia flaviventris,1,Yellow-bellied Prinia
Ocyceros birostris,1,Indian Gray Hornbill
Aquila adalberti,1,Spanish Eagle
Ardeola ralloides,1,Squacco Heron
Conopophaga lineata,1,Rufous Gnateater
Mimus longicaudatus,1,Long-tailed Mockingbird
Yungipicus canicapillus,1,Gray-capped Pygmy Woodpecker
Zipper_(clothing),1,
Scaphiopus holbrookii,1,
Sittiparus varius,1,Varied Tit
Limosa lapponica,1,Bar-tailed Godwit
Euphonia chlorotica,1,Purple-throated Euphonia
Pycnonotus sinensis,1,Light-vented Bulbul
Cough,1,
Ibycter americanus,1,Red-throated Caracara
Archilochus colubris,1,Ruby-throated Hummingbird
Pericrocotus solaris,1,Gray-chinned Minivet
Lichmera indistincta,1,Brown Honeyeater
Coracina novaehollandiae,1,Black-faced Cuckooshrike
Arachnothera magna,1,Streaked Spiderhunter
Egretta thula,1,Snowy Egret
Contopus fumigatus,1,Smoke-colored Pewee
Muscicapa adusta,1,African Dusky Flycatcher
Icterus wagleri,1,Black-vented Oriole
Crowd,1,
Empidonax flaviventris,1,Yellow-bellied Flycatcher
Motacilla tschutschensis,1,Eastern Yellow Wagtail
Legatus leucophaius,1,Piratic Flycatcher
Pycnonotus jocosus,1,Red-whiskered Bulbul
Spilopelia chinensis,1,Spotted Dove
Acanthiza chrysorrhoa,1,Yellow-rumped Thornbill
Cyanopica cooki,1,Iberian Magpie
Spiza americana,1,Dickcissel
Piranga flava,1,Hepatic Tanager
Orthogonys chloricterus,1,Olive-green Tanager
Empidonax minimus,1,Least Flycatcher
Ruspolia nitidula,1,
Eleutherodactylus coqui,1,
Formicarius colma,1,Rufous-capped Antthrush
Schiffornis virescens,1,Greenish Schiffornis
Glaucidium nana,1,Austral Pygmy-Owl
Cutlery_and_silverware,1,
Dryoscopus cubla,1,Black-backed Puffback
Merops ornatus,1,Rainbow Bee-eater
Catharus minimus,1,Gray-cheeked Thrush
Platycleis sabulosa,1,
Stachyris nigriceps,1,Gray-throated Babbler
Giggle,1,
Dives warczewiczi,1,Scrub Blackbird
Chlorothraupis stolzmanni,1,Ochre-breasted Tanager
Car,1,
Bradypterus lopezi,1,Evergreen-forest Warbler
Myiarchus nuttingi,1,Nutting's Flycatcher
Brachyramphus marmoratus,1,Marbled Murrelet
Xenus cinereus,1,Terek Sandpiper
Chiroxiphia pareola,1,Blue-backed Manakin
Tyrannus savana,1,Fork-tailed Flycatcher
Phylloscopus sindianus,1,Mountain Chiffchaff
Conocephalus exemptus,1,
Philemon buceroides,1,Helmeted Friarbird
Calidris alba,1,Sanderling
Cercotrichas leucophrys,1,White-browed Scrub-Robin
Larvivora cyane,1,Siberian Blue Robin
Gorsachius melanolophus,1,Malayan Night Heron
Lochmias nematura,1,Sharp-tailed Streamcreeper
Prinia subflava,1,Tawny-flanked Prinia
Drawer_open_or_close,1,
Piano,1,
Nisaetus cirrhatus,1,Changeable Hawk-Eagle
Myiarchus ferox,1,Short-crested Flycatcher
Lyncornis macrotis,1,Great Eared-Nightjar
Magicicada tredecassini,1,
Pseudacris clarkii,1,
Crypturellus cinereus,1,Cinereous Tinamou
Keyboard_(musical),1,
Chiroxiphia caudata,1,Swallow-tailed Manakin
Vanellus senegallus,1,Wattled Lapwing
Pterophylla camellifolia,1,
Anaxyrus woodhousii,1,
Calidris temminckii,1,Temminck's Stint
Xiphorhynchus fuscus,1,Lesser Woodcreeper
Drum,1,
Pyrrhocorax graculus,1,Yellow-billed Chough
Pyriglena maura,1,Western Fire-eye
Pseudacris streckeri,1,
Chalcites lucidus,1,Shining Bronze-Cuckoo
Lophoceros nasutus,1,African Gray Hornbill
Pteruthius aeralatus,1,White-browed Shrike-Babbler
Antrostomus vociferus,1,Eastern Whip-poor-will
Phyllergates cucullatus,1,Mountain Tailorbird
Poecile gambeli,1,Mountain Chickadee
Synallaxis unirufa,1,Rufous Spinetail
Corvus mellori,1,Little Raven
Ptiliogonys caudatus,1,Long-tailed Silky-flycatcher
Monticola solitarius,1,Blue Rock-Thrush
Prinia rufescens,1,Rufescent Prinia
Podargus strigoides,1,Tawny Frogmouth
Ficedula mugimaki,1,Mugimaki Flycatcher
Puffinus puffinus,1,Manx Shearwater
Steropleurus flavovittatus,1,
Fulica americana,1,American Coot
Cercotrichas galactotes,1,Rufous-tailed Scrub-Robin
Gelochelidon nilotica,1,Gull-billed Tern
Aramides cajaneus,1,Gray-cowled Wood-Rail
Cuculus solitarius,1,Red-chested Cuckoo
Botaurus lentiginosus,1,American Bittern
Accipiter striatus,1,Sharp-shinned Hawk
Sphecotheres vieilloti,1,Australasian Figbird
Phainopepla nitens,1,Phainopepla
Progne chalybea,1,Gray-breasted Martin
Anelytra tristellata,1,
Saxicola caprata,1,Pied Bushchat
Gracupica nigricollis,1,Black-collared Starling
Turdinus macrodactylus,1,Large Wren-Babbler
Hypsipetes amaurotis,1,Brown-eared Bulbul
Syndactyla rufosuperciliata,1,Buff-browed Foliage-gleaner
Ixos mcclellandii,1,Mountain Bulbul
Cuculus clamosus,1,Black Cuckoo
Oreothlypis superciliosa,1,Crescent-chested Warbler
Bradypterus cinnamomeus,1,Cinnamon Bracken-Warbler
Corvus orru,1,Torresian Crow
Toxostoma crissale,1,Crissal Thrasher
Coereba flaveola,1,Bananaquit
Iduna caligata,1,Booted Warbler
Eleoscytalopus indigoticus,1,White-breasted Tapaculo
Auriparus flaviceps,1,Verdin
Iduna pallida,1,Eastern Olivaceous Warbler
Dendragapus fuliginosus,1,Sooty Grouse
Chewing_and_mastication,1,
Clock,1,
Meliphaga lewinii,1,Lewin's Honeyeater
Eumomota superciliosa,1,Turquoise-browed Motmot
Todiramphus chloris,1,Collared Kingfisher
Eurillas virens,1,Little Greenbul
Setophaga discolor,1,Prairie Warbler
